SN,MN,VC,Purchase-Price
Ap4690050428761,A2849,ApA2849512Bl,52900
Ap6031116611560,A2849,ApA2849512Bl,52900
Ap0885352741133,A2849,ApA2849512Bl,52900
Ap5030739741227,A2849,ApA2849512Bl,52900
Ap7885204023039,A2849,ApA2849512Bl,52900
Ap4419578900209,A2849,ApA2849512Bl,52900
Ap4255077210510,A2849,ApA2849512Bl,52900
Ap5943279069714,A2849,ApA2849512Bl,52900
Ap9770385447038,A2849,ApA2849512Bl,52900
Ap1510767441339,A2849,ApA2849512Bl,52900
Ap4671966240039,A2849,ApA2849512Bl,52900
Ap3111984495633,A2849,ApA2849512Bl,52900
Ap2928065088591,A2849,ApA2849512Bl,52900
Ap4880659238079,A2849,ApA2849512Bl,52900
Ap4501058553436,A2849,ApA2849512Bl,52900
Ap8025995272049,A2849,ApA2849512Bl,52900
Ap8237030725495,A2849,ApA2849512Bl,52900
Ap4726169740895,A2849,ApA2849512Bl,52900
Ap7492473893256,A2849,ApA2849512Bl,52900
Ap1952724243318,A2849,ApA2849512Bl,52900
Ap6578265217071,A2849,ApA2849512Bl,52900
Ap9498686462206,A2849,ApA2849512Bl,52900
Ap4248557457254,A2849,ApA2849512Bl,52900
Ap7970508374211,A2849,ApA2849512Bl,52900
Ap5662191805480,A2849,ApA2849512Bl,52900
Ap4870972998080,A2849,ApA2849512Bl,52900
Ap0073451311345,A2849,ApA28491024Bl,61900
Ap2887960684461,A2849,ApA28491024Bl,61900
Ap1582721374998,A2849,ApA28491024Bl,61900
Ap9571965521569,A2849,ApA28491024Bl,61900
Ap7027899845023,A2849,ApA28491024Bl,61900
Ap0652745007822,A2849,ApA28491024Bl,61900
Ap9218693191643,A2849,ApA28491024Bl,61900
Ap7342538727767,A2849,ApA28491024Bl,61900
Ap8763029785701,A2849,ApA28491024Bl,61900
Ap4272648717124,A2849,ApA28491024Bl,61900
Ap9963918976060,A2849,ApA28491024Bl,61900
Ap9352969610100,A2849,ApA28491024Bl,61900
Ap1798344201869,A2849,ApA28491024Bl,61900
Ap2353842418864,A2849,ApA28491024Bl,61900
Ap7286170406172,A2849,ApA28491024Bl,61900
Ap1674373540390,A2849,ApA28491024Bl,61900
Ap7465529601481,A2849,ApA28491024Bl,61900
Ap6306885589729,A2849,ApA28491024Bl,61900
Ap4110678270774,A2849,ApA28491024Bl,61900
Ap0027329573216,A2849,ApA28491024Bl,61900
Ap7314474442118,A2849,ApA28491024Bl,61900
Ap0367511371839,A2849,ApA28491024Bl,61900
Ap9936899481924,A2849,ApA28491024Bl,61900
Ap9864441669805,A2849,ApA28491024Bl,61900
Ap6657640053479,A2849,ApA28491024Bl,61900
Ap4681002808718,A2849,ApA28491024Bl,61900
Ap5992991558377,A2849,ApA28491024Bl,61900
Ap5656756995729,A2849,ApA28491024Bl,61900
Ap3371150360267,A2849,ApA28491024Bl,61900
Ap3477453267028,A2849,ApA28491024Bl,61900
Ap5027483863471,A2849,ApA28491024Bl,61900
Ap2846210339095,A2849,ApA28491024Bl,61900
Ap9367945621823,A2849,ApA28491024Bl,61900
Ap2329586439922,A2849,ApA28491024Bl,61900
Ap9339986495299,A2849,ApA28491024Bl,61900
Ap2028486893811,A2849,ApA28491024Bl,61900
Ap1268803971600,A2849,ApA28491024Bl,61900
Ap5535811024919,A2849,ApA28491024Bl,61900
Ap9355191144961,A2849,ApA28491024Bl,61900
Ap4995691290602,A2849,ApA28491024Bl,61900
Ap7812957953195,A2849,ApA28491024Bl,61900
Ap5151929669357,A2849,ApA28491024Bl,61900
Ap9599786183594,A2849,ApA28491024Bl,61900
Ap9716236181753,A2849,ApA28491024Bl,61900
Ap9358821313231,A2849,ApA28491024Bl,61900
Ap9609477226907,A2849,ApA28491024Bl,61900
Ap7075923939080,A2849,ApA28491024Bl,61900
Ap4677119885909,A2849,ApA28491024Bl,61900
Ap5543464638110,A2849,ApA28491024Bl,61900
Ap2840602576682,A2849,ApA28491024Bl,61900
Ap4166517295806,A2849,ApA2849256Wh,43900
Ap3215042197248,A2849,ApA2849256Wh,43900
Ap9652784353116,A2849,ApA2849256Wh,43900
Ap6083684233449,A2849,ApA2849256Wh,43900
Ap2067134785478,A2849,ApA2849256Wh,43900
Ap9864403643240,A2849,ApA2849256Wh,43900
Ap4515742023667,A2849,ApA2849256Wh,43900
Ap9160435235327,A2849,ApA2849256Wh,43900
Ap8225052998389,A2849,ApA2849256Wh,43900
Ap5512426666877,A2849,ApA2849256Wh,43900
Ap0253672694149,A2849,ApA2849256Wh,43900
Ap4997612780795,A2849,ApA2849256Wh,43900
Ap0158382106772,A2849,ApA2849256Wh,43900
Ap2351786486004,A2849,ApA2849256Wh,43900
Ap2359397433622,A2849,ApA2849256Wh,43900
Ap8628802533448,A2849,ApA2849256Wh,43900
Ap8384823003930,A2849,ApA2849256Wh,43900
Ap8588962783887,A2849,ApA2849256Wh,43900
Ap9492712596851,A2849,ApA2849256Wh,43900
Ap9484704543413,A2849,ApA2849256Wh,43900
Ap3897860281755,A2849,ApA2849256Wh,43900
Ap2127407806604,A2849,ApA2849256Wh,43900
Ap5734625434333,A2849,ApA2849256Wh,43900
Ap3644486487528,A2849,ApA2849256Wh,43900
Ap6458300370603,A2849,ApA2849256Wh,43900
Ap0176512260194,A2849,ApA2849256Wh,43900
Ap0982596349906,A2849,ApA2849256Wh,43900
Ap3471403422415,A2849,ApA2849256Wh,43900
Ap5465778818299,A2849,ApA2849256Wh,43900
Ap8763986377093,A2849,ApA2849256Wh,43900
Ap2828830493179,A2849,ApA2849256Wh,43900
Ap2346802623924,A2849,ApA2849256Wh,43900
Ap8292632227606,A2849,ApA2849256Wh,43900
Ap5070067712665,A2849,ApA2849256Wh,43900
Ap5448444078919,A2849,ApA2849256Wh,43900
Ap7957984806767,A2849,ApA2849256Wh,43900
Ap8463215004959,A2849,ApA2849256Wh,43900
Ap0724481342549,A2849,ApA2849256Wh,43900
Ap6194839014169,A2849,ApA2849256Wh,43900
Ap6135556332258,A2849,ApA2849256Wh,43900
Ap9042390750998,A2849,ApA2849256Wh,43900
Ap7502402228277,A2849,ApA2849256Wh,43900
Ap5494445834733,A2849,ApA2849256Wh,43900
Ap7390302009510,A2849,ApA2849256Wh,43900
Ap4294083249989,A2849,ApA2849256Wh,43900
Ap8888398813729,A2849,ApA2849256Wh,43900
Ap8819772203618,A2849,ApA2849256Wh,43900
Ap6878147738857,A2849,ApA2849256Wh,43900
Ap0158722139569,A2849,ApA2849256Wh,43900
Ap3596302203021,A2849,ApA2849256Wh,43900
Ap3728521310663,A2849,ApA2849512Wh,52900
Ap3717127897663,A2849,ApA2849512Wh,52900
Ap0715631577869,A2849,ApA2849512Wh,52900
Ap8060000665384,A2849,ApA2849512Wh,52900
Ap2116696832062,A2849,ApA2849512Wh,52900
Ap9793247449731,A2849,ApA2849512Wh,52900
Ap2095435760690,A2849,ApA2849512Wh,52900
Ap8948267280639,A2849,ApA2849512Wh,52900
Ap5978618048951,A2849,ApA2849512Wh,52900
Ap6680397937629,A2849,ApA2849512Wh,52900
Ap6404043007589,A2849,ApA2849512Wh,52900
Ap6821881195790,A2849,ApA2849512Wh,52900
Ap6195625715038,A2849,ApA2849512Wh,52900
Ap8280491115217,A2849,ApA2849512Wh,52900
Ap9008544090973,A2849,ApA2849512Wh,52900
Ap7378876152287,A2849,ApA2849512Wh,52900
Ap9356967929162,A2849,ApA2849512Wh,52900
Ap0790791568243,A2849,ApA2849512Wh,52900
Ap7848017731161,A2849,ApA2849512Wh,52900
Ap0394711545548,A2849,ApA2849512Wh,52900
Ap3842620301007,A2849,ApA2849512Wh,52900
Ap7833404659020,A2849,ApA2849512Wh,52900
Ap8083580676757,A2849,ApA2849512Wh,52900
Ap9229206042161,A2849,ApA2849512Wh,52900
Ap7066209428073,A2849,ApA2849512Wh,52900
Ap8460781745050,A2849,ApA2849512Wh,52900
Ap7931116434173,A2849,ApA2849512Wh,52900
Ap9330998374979,A2849,ApA2849512Wh,52900
Ap2757682073899,A2849,ApA2849512Wh,52900
Ap4279804124436,A2849,ApA2849512Wh,52900
Ap8007774282485,A2849,ApA2849512Wh,52900
Ap8128983661082,A2849,ApA2849512Wh,52900
Ap3126893782503,A2849,ApA2849512Wh,52900
Ap5429462245021,A2849,ApA2849512Wh,52900
Ap5555308958393,A2849,ApA2849512Wh,52900
Ap3768449325633,A2849,ApA2849512Wh,52900
Ap2547062736848,A2849,ApA2849512Wh,52900
Ap2042987846406,A2849,ApA2849512Wh,52900
Ap7983054659791,A2849,ApA2849512Wh,52900
Ap0643564899321,A2849,ApA2849512Wh,52900
Ap7362816069337,A2849,ApA2849512Wh,52900
Ap2398798423224,A2849,ApA2849512Wh,52900
Ap0620141743228,A2849,ApA2849512Wh,52900
Ap1105501210582,A2849,ApA2849512Wh,52900
Ap4391839445148,A2849,ApA2849512Wh,52900
Ap1715812917079,A2849,ApA2849512Wh,52900
Ap6012762518801,A2849,ApA2849512Wh,52900
Ap8589524018941,A2849,ApA2849512Wh,52900
Ap0185768577024,A2849,ApA2849512Wh,52900
Ap2187084255484,A2849,ApA2849512Wh,52900
Ap9223506017765,A2849,ApA28491024Wh,61900
Ap6555773524192,A2849,ApA28491024Wh,61900
Ap7063143616784,A2849,ApA28491024Wh,61900
Ap0868451439662,A2849,ApA28491024Wh,61900
Ap5123048020553,A2849,ApA28491024Wh,61900
Ap6124819157058,A2849,ApA28491024Wh,61900
Ap6279434696555,A2849,ApA28491024Wh,61900
Ap5321167458018,A2849,ApA28491024Wh,61900
Ap0123682558017,A2849,ApA28491024Wh,61900
Ap7408554818409,A2849,ApA28491024Wh,61900
Ap1245397792448,A2849,ApA28491024Wh,61900
Ap6033058883303,A2849,ApA28491024Wh,61900
Ap5718871692073,A2849,ApA28491024Wh,61900
Ap3331815256449,A2849,ApA28491024Wh,61900
Ap1044331452691,A2849,ApA28491024Wh,61900
Ap2070666323200,A2849,ApA28491024Wh,61900
Ap6147731711016,A2849,ApA28491024Wh,61900
Ap1541961986133,A2849,ApA28491024Wh,61900
Ap8474067642595,A2849,ApA28491024Wh,61900
Ap0766304994178,A2849,ApA28491024Wh,61900
Ap7952821991389,A2849,ApA28491024Wh,61900
Ap7366594507420,A2849,ApA28491024Wh,61900
Ap7405622532845,A2849,ApA28491024Wh,61900
Ap3218894070947,A2849,ApA28491024Wh,61900
Ap8687492979067,A2849,ApA28491024Wh,61900
Ap9581736728604,A2849,ApA28491024Wh,61900
Ap7987925205455,A2849,ApA28491024Wh,61900
Ap9275870986227,A2849,ApA28491024Wh,61900
Ap0309813639693,A2849,ApA28491024Wh,61900
Ap2116605929770,A2849,ApA28491024Wh,61900
Ap0639710503483,A2849,ApA28491024Wh,61900
Ap1250134209438,A2849,ApA28491024Wh,61900
Ap0629747144018,A2849,ApA28491024Wh,61900
Ap9251189591581,A2849,ApA28491024Wh,61900
Ap8301348040429,A2849,ApA28491024Wh,61900
Ap0066665347145,A2849,ApA28491024Wh,61900
Ap5219254389674,A2849,ApA28491024Wh,61900
Ap3888181416474,A2849,ApA28491024Wh,61900
Ap6502484317425,A2849,ApA28491024Wh,61900
Ap0452125152225,A2849,ApA28491024Wh,61900
Ap6501323192997,A2849,ApA28491024Wh,61900
Ap0972435584950,A2849,ApA28491024Wh,61900
Ap7189930477281,A2849,ApA28491024Wh,61900
Ap0857024570699,A2849,ApA28491024Wh,61900
Ap3879161852890,A2849,ApA28491024Wh,61900
Ap2819570663386,A2849,ApA28491024Wh,61900
Ap0057399018765,A2849,ApA28491024Wh,61900
Ap9486109797109,A2849,ApA28491024Wh,61900
Ap8424365117236,A2849,ApA28491024Wh,61900
Ap8018647610100,A2849,ApA28491024Wh,61900
Ap3042547739029,A2849,ApA2849256Bl,43900
Ap0084730494643,A2849,ApA2849256Bl,43900
Ap5085911070876,A2849,ApA2849256Bl,43900
Ap6876198684454,A2849,ApA2849256Bl,43900
Ap7043574976473,A2849,ApA2849256Bl,43900
Ap7851141990716,A2849,ApA2849256Bl,43900
Ap2803124686391,A2849,ApA2849256Bl,43900
Ap1070648989391,A2849,ApA2849256Bl,43900
Ap8655664021574,A2849,ApA2849256Bl,43900
Ap3745999031027,A2849,ApA2849256Bl,43900
Ap8508123979021,A2849,ApA2849256Bl,43900
Ap3793986722951,A2849,ApA2849256Bl,43900
Ap4503529197959,A2849,ApA2849256Bl,43900
Ap9713289457515,A2849,ApA2849256Bl,43900
Ap6283042096502,A2849,ApA2849256Bl,43900
Ap9011495122757,A2849,ApA2849256Bl,43900
Ap9612507269321,A2849,ApA2849256Bl,43900
Ap5360199061311,A2849,ApA2849256Bl,43900
Ap8288224433246,A2849,ApA2849256Bl,43900
Ap2717045561377,A2849,ApA2849256Bl,43900
Ap0193022976072,A2849,ApA2849256Bl,43900
Ap7335717093301,A2849,ApA2849256Bl,43900
Ap6350131539513,A2849,ApA2849256Bl,43900
Ap2585971275048,A2849,ApA2849256Bl,43900
Ap2514043671358,A2849,ApA2849256Bl,43900
Ap2463378999953,A2849,ApA2849256Bl,43900
Ap6713771207375,A2849,ApA2849256Bl,43900
Ap6223700869060,A2849,ApA2849256Bl,43900
Ap4318265256816,A2849,ApA2849256Bl,43900
Ap9905535486759,A2849,ApA2849256Bl,43900
Ap8514985815145,A2849,ApA2849256Bl,43900
Ap0865624176488,A2849,ApA2849256Bl,43900
Ap6657686216340,A2849,ApA2849256Bl,43900
Ap1651708757452,A2849,ApA2849256Bl,43900
Ap6413589061664,A2849,ApA2849256Bl,43900
Ap3599085020539,A2849,ApA2849256Bl,43900
Ap2098672465225,A2849,ApA2849256Bl,43900
Ap3901848716554,A2849,ApA2849256Bl,43900
Ap5360633871870,A2849,ApA2849256Bl,43900
Ap2782707959257,A2849,ApA2849256Bl,43900
Ap4390583661474,A2849,ApA2849256Bl,43900
Ap1167238451334,A2849,ApA2849256Bl,43900
Ap4717707127851,A2849,ApA2849256Bl,43900
Ap6568256453788,A2849,ApA2849256Bl,43900
Ap9529849790963,A2849,ApA2849256Bl,43900
Ap4490863157152,A2849,ApA2849256Bl,43900
Ap7549538814688,A2849,ApA2849256Bl,43900
Ap1268433850476,A2849,ApA2849256Bl,43900
Ap5037077534130,A2849,ApA2849256Bl,43900
Ap5671843968189,A2849,ApA2849256Bl,43900
Ap1393743077179,A2849,ApA2849512Bl,52900
Ap8710152859792,A2849,ApA2849512Bl,52900
Ap3104453982650,A2849,ApA2849512Bl,52900
Ap6560571509595,A2849,ApA2849512Bl,52900
Ap8355796281634,A2849,ApA2849512Bl,52900
Ap4242827969234,A2849,ApA2849512Bl,52900
Ap1368692869553,A2849,ApA2849512Bl,52900
Ap5830245787414,A2849,ApA2849512Bl,52900
Ap1664158706435,A2849,ApA2849512Bl,52900
Ap3967632480163,A2849,ApA2849512Bl,52900
Ap5460393085574,A2849,ApA2849512Bl,52900
Ap6432680912099,A2849,ApA2849512Bl,52900
Ap5804734457570,A2849,ApA2849512Bl,52900
Ap0898718463597,A2849,ApA2849512Bl,52900
Ap8594032961852,A2849,ApA2849512Bl,52900
Ap9910767504532,A2849,ApA2849512Bl,52900
Ap2716043727466,A2849,ApA2849512Bl,52900
Ap7680255370599,A2849,ApA2849512Bl,52900
Ap1742596491391,A2849,ApA2849512Bl,52900
Ap8905506475689,A2849,ApA2849512Bl,52900
Ap6284466409475,A2849,ApA2849512Bl,52900
Ap0780487642228,A2849,ApA2849512Bl,52900
Ap1046726170440,A2849,ApA2849512Bl,52900
Ap9198608641589,A2849,ApA2849512Bl,52900
Ap6075492897336,A2849,ApA2849512Bl,52900
Ap2573508549140,A2849,ApA2849512Bl,52900
Ap7441440178139,A2849,ApA2849512Bl,52900
Ap9943753617867,A2849,ApA2849512Bl,52900
Ap4133495356626,A2849,ApA2849512Bl,52900
Ap0891936413228,A2849,ApA2849512Bl,52900
Ap6047336534678,A2849,ApA2849512Bl,52900
Ap0318839412110,A2849,ApA2849512Bl,52900
Ap7805909658428,A2849,ApA2849512Bl,52900
Ap5369284600125,A2849,ApA2849512Bl,52900
Ap5471046956594,A2849,ApA2849512Bl,52900
Ap3633756961957,A2849,ApA2849512Bl,52900
Ap8822147142065,A2849,ApA2849512Bl,52900
Ap1400172114049,A2849,ApA2849512Bl,52900
Ap1501776574111,A2849,ApA2849512Bl,52900
Ap5159802375274,A2849,ApA2849512Bl,52900
Ap1738455612362,A2849,ApA2849512Bl,52900
Ap0047830955392,A2849,ApA2849512Bl,52900
Ap9418805916283,A2849,ApA2849512Bl,52900
Ap7555366835554,A2849,ApA2849512Bl,52900
Ap1127343257688,A2849,ApA2849512Bl,52900
Ap6238395613298,A2849,ApA2849512Bl,52900
Ap8365378636265,A2849,ApA2849512Bl,52900
Ap3112537679844,A2849,ApA2849512Bl,52900
Ap9011330617613,A2849,ApA2849512Bl,52900
Ap6962895530424,A2849,ApA2849512Bl,52900
Ap2382729501334,A2849,ApA28491024Bl,61900
Ap8974218611024,A2849,ApA28491024Bl,61900
Ap6368373174655,A2849,ApA28491024Bl,61900
Ap5890970792483,A2849,ApA28491024Bl,61900
Ap2204830551467,A2849,ApA28491024Bl,61900
Ap1181191606649,A2849,ApA28491024Bl,61900
Ap6471636190887,A2849,ApA28491024Bl,61900
Ap9225412227009,A2849,ApA28491024Bl,61900
Ap5903074595565,A2849,ApA28491024Bl,61900
Ap4863361215696,A2849,ApA28491024Bl,61900
Ap6954369626558,A2849,ApA28491024Bl,61900
Ap0267686751020,A2849,ApA28491024Bl,61900
Ap7892903152345,A2849,ApA28491024Bl,61900
Ap6624036808978,A2849,ApA28491024Bl,61900
Ap8631622902036,A2849,ApA28491024Bl,61900
Ap7020289274012,A2849,ApA28491024Bl,61900
Ap6604027588443,A2849,ApA28491024Bl,61900
Ap9986380221861,A2849,ApA28491024Bl,61900
Ap9189443512971,A2849,ApA28491024Bl,61900
Ap0507101428096,A2849,ApA28491024Bl,61900
Ap8684688269286,A2849,ApA28491024Bl,61900
Ap3390070977572,A2849,ApA28491024Bl,61900
Ap4213336661202,A2849,ApA28491024Bl,61900
Ap5020770273860,A2849,ApA28491024Bl,61900
Ap3636807856270,A2849,ApA28491024Bl,61900
Ap5434775154552,A2849,ApA28491024Bl,61900
Ap0701768766505,A2849,ApA28491024Bl,61900
Ap9861408563446,A2849,ApA28491024Bl,61900
Ap5346831589591,A2849,ApA28491024Bl,61900
Ap3634312621473,A2849,ApA28491024Bl,61900
Ap7299176226718,A2849,ApA28491024Bl,61900
Ap5486982686175,A2849,ApA28491024Bl,61900
Ap2250982264049,A2849,ApA28491024Bl,61900
Ap7347811911759,A2849,ApA28491024Bl,61900
Ap3008271313110,A2849,ApA28491024Bl,61900
Ap1188609039336,A2849,ApA28491024Bl,61900
Ap9424623867610,A2849,ApA28491024Bl,61900
Ap9893745076273,A2849,ApA28491024Bl,61900
Ap7325893177349,A2849,ApA28491024Bl,61900
Ap7271405112931,A2849,ApA28491024Bl,61900
Ap1058658058406,A2849,ApA28491024Bl,61900
Ap5570940852035,A2849,ApA28491024Bl,61900
Ap2365407468977,A2849,ApA28491024Bl,61900
Ap8685505932925,A2849,ApA28491024Bl,61900
Ap9065344058168,A2849,ApA28491024Bl,61900
Ap7728636547432,A2849,ApA28491024Bl,61900
Ap0022746808699,A2849,ApA28491024Bl,61900
Ap7817477645188,A2849,ApA28491024Bl,61900
Ap3416534137377,A2849,ApA28491024Bl,61900
Ap9964156605379,A2849,ApA28491024Bl,61900
Ap1522079161365,A2849,ApA2849256Na,43900
Ap6941536387817,A2849,ApA2849256Na,43900
Ap7099276282683,A2849,ApA2849256Na,43900
Ap1140251120016,A2849,ApA2849256Na,43900
Ap6825907608524,A2849,ApA2849256Na,43900
Ap2519289838886,A2849,ApA2849256Na,43900
Ap5064286197598,A2849,ApA2849256Na,43900
Ap6594074522170,A2849,ApA2849256Na,43900
Ap6296216648232,A2849,ApA2849256Na,43900
Ap0778385700565,A2849,ApA2849256Na,43900
Ap1556844329545,A2849,ApA2849256Na,43900
Ap3307151002895,A2849,ApA2849256Na,43900
Ap9628151750813,A2849,ApA2849256Na,43900
Ap8243699629394,A2849,ApA2849256Na,43900
Ap6672522040087,A2849,ApA2849256Na,43900
Ap4169014046121,A2849,ApA2849256Na,43900
Ap9237531121588,A2849,ApA2849256Na,43900
Ap0119060880953,A2849,ApA2849256Na,43900
Ap5993059883114,A2849,ApA2849256Na,43900
Ap0363851321977,A2849,ApA2849256Na,43900
Ap2272371571462,A2849,ApA2849256Na,43900
Ap3224543106617,A2849,ApA2849256Na,43900
Ap0128735812837,A2849,ApA2849256Na,43900
Ap3688190958436,A2849,ApA2849256Na,43900
Ap6677462541591,A2849,ApA2849256Na,43900
Ap5803683624958,A2849,ApA2849256Na,43900
Ap9249722328557,A2849,ApA2849256Na,43900
Ap7480817390790,A2849,ApA2849256Na,43900
Ap8978156272871,A2849,ApA2849256Na,43900
Ap6169245282867,A2849,ApA2849256Na,43900
Ap6313687638453,A2849,ApA2849256Na,43900
Ap5895279846897,A2849,ApA2849256Na,43900
Ap1597757165626,A2849,ApA2849256Na,43900
Ap6414436191821,A2849,ApA2849256Na,43900
Ap5609015494819,A2849,ApA2849256Na,43900
Ap3972959130687,A2849,ApA2849256Na,43900
Ap8628658020109,A2849,ApA2849256Na,43900
Ap7667350745680,A2849,ApA2849256Na,43900
Ap3517220721385,A2849,ApA2849256Na,43900
Ap9944338160570,A2849,ApA2849256Na,43900
Ap8545257671405,A2849,ApA2849256Na,43900
Ap7458191096710,A2849,ApA2849256Na,43900
Ap3144189192552,A2849,ApA2849256Na,43900
Ap6615771123142,A2849,ApA2849256Na,43900
Ap4705988089269,A2849,ApA2849256Na,43900
Ap2032843462901,A2849,ApA2849256Na,43900
Ap9741572940180,A2849,ApA2849256Na,43900
Ap3895180783075,A2849,ApA2849256Na,43900
Ap1220101134332,A2849,ApA2849256Na,43900
Ap7217644686814,A2849,ApA2849256Na,43900
Ap0908733089487,A2849,ApA2849512Na,52900
Ap0691099653799,A2849,ApA2849512Na,52900
Ap8712224058799,A2849,ApA2849512Na,52900
Ap7699417998180,A2849,ApA2849512Na,52900
Ap3830841975618,A2849,ApA2849512Na,52900
Ap6463076681731,A2849,ApA2849512Na,52900
Ap5806564159731,A2849,ApA2849512Na,52900
Ap0973463411908,A2849,ApA2849512Na,52900
Ap9214082387386,A2849,ApA2849512Na,52900
Ap0429966491835,A2849,ApA2849512Na,52900
Ap9141128281571,A2849,ApA2849512Na,52900
Ap0250272117205,A2849,ApA2849512Na,52900
Ap7403199321626,A2849,ApA2849512Na,52900
Ap7850631420341,A2849,ApA2849512Na,52900
Ap3749126486600,A2849,ApA2849512Na,52900
Ap3712163059150,A2849,ApA2849512Na,52900
Ap2576544271937,A2849,ApA2849512Na,52900
Ap0106648809304,A2849,ApA2849512Na,52900
Ap3593701856589,A2849,ApA2849512Na,52900
Ap5884742616073,A2849,ApA2849512Na,52900
Ap4794042656530,A2849,ApA2849512Na,52900
Ap8320914285099,A2849,ApA2849512Na,52900
Ap9317515601475,A2849,ApA2849512Na,52900
Ap8041651478227,A2849,ApA2849512Na,52900
Ap5540468189755,A2849,ApA2849512Na,52900
Ap4395068279017,A2849,ApA2849512Na,52900
Ap9490196471007,A2849,ApA2849512Na,52900
Ap6650107437286,A2849,ApA2849512Na,52900
Ap6339544211161,A2849,ApA2849512Na,52900
Ap1250498922329,A2849,ApA2849512Na,52900
Ap0764327229421,A2849,ApA2849512Na,52900
Ap0447345404764,A2849,ApA2849512Na,52900
Ap6508656093873,A2849,ApA2849512Na,52900
Ap8120411916932,A2849,ApA2849512Na,52900
Ap7245513027489,A2849,ApA2849512Na,52900
Ap7318162284876,A2849,ApA2849512Na,52900
Ap1721529341568,A2849,ApA2849512Na,52900
Ap6162828834790,A2849,ApA2849512Na,52900
Ap2206460875062,A2849,ApA2849512Na,52900
Ap6464273420526,A2849,ApA2849512Na,52900
